,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-699b785b7f-rszbd_cpu,simple-stateless-699b785b7f-rszbd_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory,simple-stateless-55b56d99fb-mj2pv_cpu,simple-stateless-55b56d99fb-mj2pv_memory
Fri Feb 10 19:44:13 2023,0.460704,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:14 2023,0.502418,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:15 2023,0.48829,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:16 2023,0.504731,309317006n,2029592Ki,43264343n,1260028Ki,40348458n,1167688Ki,208501482n,1421808Ki,41084626n,1024600Ki,52506460n,1165648Ki,,,0,18076Ki,2706718n,18232Ki
Fri Feb 10 19:44:17 2023,0.638321,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:18 2023,0.625745,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:19 2023,0.502998,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:20 2023,0.473069,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:21 2023,0.522898,309317006n,2029592Ki,43264343n,1260028Ki,40348458n,1167688Ki,208501482n,1421808Ki,41084626n,1024600Ki,52506460n,1165648Ki,,,0,18076Ki,2706718n,18232Ki
Fri Feb 10 19:44:22 2023,0.493686,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:23 2023,0.685086,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:24 2023,0.545697,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:25 2023,0.565742,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:26 2023,0.537138,309317006n,2029592Ki,43264343n,1260028Ki,40348458n,1167688Ki,208501482n,1421808Ki,41084626n,1024600Ki,52506460n,1165648Ki,,,0,18076Ki,2706718n,18232Ki
Fri Feb 10 19:44:28 2023,0.587582,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:29 2023,0.57271,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:30 2023,0.552096,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:31 2023,0.49488,,,,,,,,,,,,,,,,,,
